time	A	R
0.0	0.0	0.0
0.15	0.0288041312791046	0.0019492421771211174
0.3	0.05502857630253711	0.006831047230988785
0.44999999999999996	0.07856409200760313	0.013589700203812281
0.6	0.09946355042182363	0.021524673228734734
0.75	0.11787397083053447	0.03015825574926632
0.8999999999999999	0.1339897651986599	0.03915815311368141
1.05	0.14802313811706264	0.04829011177920438
1.2	0.16018652918122267	0.05738779822494067
1.3499999999999999	0.17068286063261331	0.06633296564030097
1.5	0.1797006511057886	0.07504206070455877
1.65	0.1874120197145209	0.08345692936582068
1.7999999999999998	0.19397237004495438	0.09153824365279044
1.95	0.19952097606048347	0.0992607419038716
2.1	0.2041820495669609	0.10660974802946155
2.25	0.20806600240821932	0.11357857708065038
2.4	0.21127075947860993	0.12016658140646044
2.55	0.21388303608111578	0.12637766349864493
2.6999999999999997	0.21597953794550373	0.1322191383465229
2.85	0.21762805737448226	0.13770084183401404
3.0	0.21888847141212825	0.1428344468188631
3.15	0.21981363462308612	0.14763292411337886
3.3	0.22045017559894825	0.15211012066498789
3.4499999999999997	0.22083920548553101	0.1562804274917791
3.5999999999999996	0.22101694640702674	0.16015851752692883
3.75	0.2210152861601011	0.1637591439113831
3.9	0.2208622718195125	0.16709697705814677
4.05	0.2205825442810416	0.17018647995956812
4.2	0.2201977265291026	0.1730418098786924
4.35	0.21972676339394398	0.17567674741863926
4.5	0.2191862239575577	0.17810464112321944
4.6499999999999995	0.21859057172030671	0.1803383653506934
4.8	0.21795240174301683	0.18239029373235835
4.95	0.2172826517350972	0.18427228092891523
5.1	0.2165907915484625	0.18599565107964364
5.25	0.2158849909306698	0.18757119381668086
5.3999999999999995	0.21517226036577067	0.1890091699382498
5.55	0.2144585971140157	0.19031930877565623
5.7	0.213749090710405	0.19151082366197927
5.85	0.21304803787251342	0.19259241859030501
6.0	0.21235902691469613	0.19357230589617974
6.1499999999999995	0.211685030326719	0.19445821732634352
6.3	0.21102847130138555	0.1952574235794815
6.45	0.2103912969541954	0.1959767482033736
6.6	0.20977503195161404	0.19662258764857532
6.75	0.2091808361864634	0.1972009277576858
6.8999999999999995	0.208609548146406	0.19771736300475012
7.05	0.2080617298943139	0.1981771136652525
7.199999999999999	0.20753770329525675	0.19858504446604383
7.35	0.20703758327132776	0.19894568240924657
7.5	0.20656130394089353	0.19926323521641576
7.6499999999999995	0.2061086548506933	0.1995416059272796
7.8	0.2056792939240493	0.19978441218910983
7.949999999999999	0.20527277498895416	0.19999500114443886
8.1	0.2048885629696608	0.20017646573458103
8.25	0.20452604994282886	0.2003316600058483
8.4	0.20418457296976367	0.20046321319515617
8.549999999999999	0.20386342157658882	0.20057354455812434
8.7	0.20356185394153264	0.20066487585679132
8.85	0.2032791026882036	0.20073924472944024
9.0	0.2030143854429785	0.2007985169911382
9.15	0.20276691189475063	0.20084439831768322
9.299999999999999	0.20253588883359028	0.2008784453039781
9.45	0.20232052802953318	0.2009020758576915
9.6	0.2021200482587084	0.2009165792581823
9.75	0.2019336819180523	0.2009231257407697
9.9	0.2017606756916744	0.20092277513677453
10.049999999999999	0.20160029241518163	0.200916485151222
10.2	0.20145181879111232	0.20090511979649153
10.35	0.2013145630034904	0.200889456275612
10.5	0.20118785506085768	0.2008701917323381
10.65	0.20107105161833191	0.20084795059549393
10.799999999999999	0.2009635342459614	0.20082329000210306
10.95	0.20086470894026684	0.2007967051936245
11.1	0.2007740093605294	0.20076863586902502
11.25	0.20069089505056198	0.20073947044197968
11.4	0.2006148503963417	0.20070955026265852
11.549999999999999	0.2005453866454432	0.20067917462665907
11.7	0.20048204032441677	0.20064860419403505
11.85	0.20042437195189894	0.20061806423384285
12.0	0.200371966888444	0.2005877491224649
12.15	0.2003244339885357	0.20055782487968124
12.299999999999999	0.20028140425804533	0.20052843151684013
12.45	0.20024253124208213	0.20049968652097136
12.6	0.20020748976725583	0.20047168690852357
12.75	0.20017597456469424	0.2004445109881488
12.9	0.20014770015856437	0.20041822115133792
13.049999999999999	0.20012239977583315	0.20039286543809132
13.2	0.20009982409443092	0.20036847874040278
13.35	0.20007974094519945	0.2003450850818752
13.5	0.20006193434477337	0.20032269883049997
13.65	0.20004620333212952	0.2003013256001032
13.799999999999999	0.20003236150619486	0.20028096335701337
13.95	0.20002023615104378	0.20026160450719985
14.1	0.2000096672830698	0.20024323530604027
14.25	0.20000050715123105	0.20022583782213907
14.399999999999999	0.19999261942065205	0.20020939037875127
14.549999999999999	0.19998587822470817	0.20019386765940778
14.7	0.1999801677634503	0.20017924178360322
14.85	0.1999753820330211	0.20016548341300905
15.0	0.19997142342064722	0.2001525615895215
