time	A	B	C
0.0	100.0	0.0	0.0
5.0	8.208499842100816	35.2612904296572	56.53020972824226
10.0	0.673794694119894	10.762280355352898	88.56392495052745
20.0	0.004539994428591723	0.6083380624184141	99.3871219431532
25.0	0.0003726646929337718	0.13733942073691713	99.86228791457043
30.0	3.059048331530313e-05	0.030775970382558335	99.96919343913444
35.0	2.5109897878507104e-06	0.006877834551622073	99.99311965445891
40.0	2.0611890111350703e-07	0.0015355397697434264	99.99846425411165
45.0	1.691731048691472e-08	0.00034270293107678236	99.99965728015192
50.0	1.384651332016135e-09	7.647482764874152e-05	99.999923523788
